template_id,difficulty,source_row,combination,query,question,rephrase,narrative_question
hard_r0002,hard,2,match,"{""query"": {""bool"": {""must"": [{""match"": {""query"": ""Pleocytosis""}}]}}}",Reports show entries containing 'Pleocytosis'. Can you list these cases and summarize results?,"As a clinician, Could you show me all instances of symptom containing 'Pleocytosis' and their subsequent examination results?","When reviewing cases marked Pleocytosis, analyzing patient demographics might reveal significant trends. Could you examine age and location distributions?"
hard_r0003,hard,3,match,"{""query"": {""bool"": {""must"": [{""match"": {""query"": ""Skin atrophy""}}]}}}",I noticed records containing 'Skin atrophy'. Could you retrieve all matching entries and their outcomes?,"Speaking as a patient advocate, Records indicate symptom containing 'Skin atrophy'. How often did these lead to life-threatening events or death?","In clinical audits, the label Skin atrophy can signal procedural deviations. Would compiling all such records help identify root causes?"
hard_r0004,hard,4,match,"{""query"": {""bool"": {""must"": [{""match"": {""VAX_ROUTE"": ""SC""}}]}}}",I've found records containing 'SC'. Please pull up similar cases and their details.,"From my perspective, Iam interested in cases with vax route containing 'SC'. Can you list them and detail any ER visits or hospital stay?",Entries tagged SC may correlate with specific vaccine manufacturers or lot numbers. Should we cross-reference these variables for patterns?
hard_r0005,hard,5,match,"{""query"": {""bool"": {""must"": [{""match"": {""query"": ""Hypopnoea""}}]}}}",Reports show entries containing 'Hypopnoea'. Can you list these cases and summarize results?,"As a health analyst, Instances where symptom4 containing 'Hypopnoea' appeared Could you map their distribution by state and count how many recovered?",Finding Hypopnoea in recent reports could indicate classification inconsistencies. Would it be useful to compare these instances across facilities?
hard_r0006,hard,6,match,"{""query"": {""bool"": {""must"": [{""match"": {""query"": ""Sciatica""}}]}}}",I noticed records containing 'Sciatica'. Could you retrieve all matching entries and their outcomes?,"As someone researching this, Could you show me all instances of symptom1 containing 'Sciatica' and their subsequent examination results?",Data associated with Sciatica might uncover hidden subgroups with distinct recovery trajectories. Could we summarize their hospitalization outcomes?
hard_r0007,hard,7,match,"{""query"": {""bool"": {""must"": [{""match"": {""query"": ""Lymph node pain""}}]}}}","When data indicates containing 'Lymph node pain', what are the matching records and their follow-up?","As a health analyst, I am interested in cases with symptom5 containing 'Lymph node pain'. Can you list them and detail any ER visits or hospital stay?","As an analyst, noticing Lymph node pain prompts a deeper look at symptom onset timelines. Might extracting these records clarify response patterns?"
hard_r0008,hard,8,match,"{""query"": {""bool"": {""must"": [{""match"": {""V_ADMINBY"": ""MIL""}}]}}}","When data indicates containing 'MIL', what are the matching records and their follow-up?","From my perspective, Records indicate v adminby containing 'MIL'. How often did these lead to life-threatening events or death?",Occurrences of MIL may reflect demographic or treatment-based nuances. Should we filter by age group and evaluate outcome disparities?
hard_r0009,hard,9,match,"{""query"": {""bool"": {""must"": [{""match"": {""LAB_DATA"": ""04APR2023 COVID-19 test - Positive; 09APR2023 COVID-19 test - Negative""}}]}}}",I noticed records containing '04APR2023 COVID-19 test - Positive; 09APR2023 COVID-19 test - Negative'. Could you retrieve all matching entries and their outcomes?,"As someone researching this, There are reports showing examination results containing '04APR2023 COVID-19 test - Positive; 09APR2023 COVID-19 test - Negative'. How many are there and what outcomes did they have?",Documenting 04APR2023 COVID-19 test - Positive; 09APR2023 COVID-19 test - Negative alongside other events can highlight co-occurrence patterns. Would exploring correlated symptoms yield actionable insights?
hard_r0010,hard,10,match,"{""query"": {""bool"": {""must"": [{""match"": {""SEX"": ""M""}}]}}}",I noticed records containing 'M'. Could you retrieve all matching entries and their outcomes?,"As someone researching this, Iam interested in cases with sex of patient containing 'M'. Can you list them and detail any ER visits or hospital stay?",Cases labeled M could reveal reporting biases in our dataset. Can we aggregate these entries to assess documentation consistency?
hard_r0011,hard,11,match,"{""query"": {""bool"": {""must"": [{""match"": {""VAX_NAME"": ""TD ADSORBED (TDVAX)""}}]}}}",I noticed records containing 'TD ADSORBED (TDVAX)'. Could you retrieve all matching entries and their outcomes?,"As a clinician, Entries with vax name containing 'TD ADSORBED (TDVAX)' have been flagged. Please retrieve those and note any prior vaccinations or allergies.",Investigating records with TD ADSORBED (TDVAX) might expose links to severe adverse events. Would you analyze their ER visit and hospitalization rates?
hard_r0012,hard,12,match,"{""query"": {""bool"": {""must"": [{""match"": {""query"": ""Protein total increased""}}]}}}",Entries containing 'Protein total increased' caught my attention. Could you show these instances and what happened?,"As someone researching this, Instances where symptom2 containing 'Protein total increased' appeared Could you map their distribution by state and count how many recovered?","When reviewing cases marked Protein total increased, analyzing patient demographics might reveal significant trends. Could you examine age and location distributions?"
hard_r0013,hard,13,match,"{""query"": {""bool"": {""must"": [{""match"": {""VAX_SITE"": ""MO""}}]}}}",I noticed records containing 'MO'. Could you retrieve all matching entries and their outcomes?,"As a clinician, Some entries have vaccination site containing 'MO'. Please find those and summarize their hospitalization and recovery info.","In clinical audits, the label MO can signal procedural deviations. Would compiling all such records help identify root causes?"
hard_r0014,hard,14,match,"{""query"": {""bool"": {""must"": [{""match"": {""SEX"": ""F""}}]}}}",Reports show entries containing 'F'. Can you list these cases and summarize results?,"Speaking for affected families, I noticed records where sex of patient containing 'F'. Could you pull up those cases and tell me what happened afterward?","Looking at reports for female patients, can we cross-reference these cases with vaccine manufacturers and lot numbers to see if any patterns emerge?"
hard_r0015,hard,15,match,"{""query"": {""bool"": {""must"": [{""match"": {""SPLTTYPE"": ""USPFIZER INC202300062676""}}]}}}",I noticed records containing 'USPFIZER INC202300062676'. Could you retrieve all matching entries and their outcomes?,"Speaking as a patient advocate, When splttype containing 'USPFIZER INC202300062676' occurs, what do the follow-up data say about patient outcomes?",Finding USPFIZER INC202300062676 in recent reports could indicate classification inconsistencies. Would it be useful to compare these instances across facilities?
hard_r0016,hard,16,match,"{""query"": {""bool"": {""must"": [{""match"": {""ALLERGIES"": ""CodeineUnknown""}}]}}}",Reports show entries containing 'CodeineUnknown'. Can you list these cases and summarize results?,"From my perspective, When allergies containing 'CodeineUnknown' occurs, what do the follow-up data say about patient outcomes?",Data associated with CodeineUnknown might uncover hidden subgroups with distinct recovery trajectories. Could we summarize their hospitalization outcomes?
hard_r0017,hard,17,match,"{""query"": {""bool"": {""must"": [{""match"": {""query"": ""International normalised ratio decreased""}}]}}}",Reports show entries containing 'International normalised ratio decreased'. Can you list these cases and summarize results?,"From my perspective, Entries with symptom1 containing 'International normalised ratio decreased' have been flagged. Please retrieve those and note any prior vaccinations or allergies.","As an analyst, noticing International normalised ratio decreased prompts a deeper look at symptom onset timelines. Might extracting these records clarify response patterns?"
hard_r0018,hard,18,match,"{""query"": {""bool"": {""must"": [{""match"": {""TODAYS_DATE"": ""05/20/2021""}}]}}}",I've found records containing '05/20/2021'. Please pull up similar cases and their details.,"From my perspective, When todays date containing '05/20/2021' occurs, what do the follow-up data say about patient outcomes?",Occurrences of 05/20/2021 may reflect demographic or treatment-based nuances. Should we filter by age group and evaluate outcome disparities?
hard_r0019,hard,19,match,"{""query"": {""bool"": {""must"": [{""match"": {""query"": ""Facet joint syndrome""}}]}}}","When data indicates containing 'Facet joint syndrome', what are the matching records and their follow-up?","As a health analyst, There are reports showing symptom4 containing 'Facet joint syndrome'. How many are there and what outcomes did they have?",Documenting Facet joint syndrome alongside other events can highlight co-occurrence patterns. Would exploring correlated symptoms yield actionable insights?
hard_r0020,hard,20,match,"{""query"": {""bool"": {""must"": [{""match"": {""L_THREAT"": ""Y""}}]}}}",I noticed records containing 'Y'. Could you retrieve all matching entries and their outcomes?,"Speaking as a patient advocate, Instances where life-threatening condition containing 'Y' appeared Could you map their distribution by state and count how many recovered?","I looked at reports flagged as life-threatening events. These cases show follow-up details, hospitalizations, and recovery outcomes. Clinicians can see which patients had severe complications, while researchers and public health analysts can spot trends by state or demographics. For nurses, the reports highlight care and hospitalization needs. Families can also understand how similar cases fared and whether patients recovered."
hard_r0021,hard,21,match,"{""query"": {""bool"": {""must"": [{""match"": {""VAX_SITE"": ""GM""}}]}}}","When data indicates containing 'GM', what are the matching records and their follow-up?","As someone researching this, When vaccination site containing 'GM' occurs, what do the follow-up data say about patient outcomes?",Investigating records with GM might expose links to severe adverse events. Would you analyze their ER visit and hospitalization rates?
hard_r0022,hard,22,match,"{""query"": {""bool"": {""must"": [{""match"": {""VAX_LOT"": ""idk""}}]}}}",I've found records containing 'idk'. Please pull up similar cases and their details.,"Speaking for affected families, There are reports showing vaccine lot number containing 'idk'. How many are there and what outcomes did they have?","I reviewed reports where the vaccine lot number is listed as ‘idk’. These cases were examined for follow-up outcomes, including recovery and hospitalizations. Analyzing age and location distributions can help reveal patterns or trends in patients with this specific lot number. This overview provides insights for clinicians, researchers, and families when the lot is reported as ‘idk’."
hard_r0023,hard,23,match,"{""query"": {""bool"": {""must"": [{""match"": {""ONSET_DATE"": ""11/18/2014""}}]}}}",Reports show entries containing '11/18/2014'. Can you list these cases and summarize results?,"As a health analyst, Could you show me all instances of symptom onset date containing '11/18/2014' and their subsequent examination results?","In clinical audits, the label 11/18/2014 can signal procedural deviations. Would compiling all such records help identify root causes?"
hard_r0024,hard,24,match,"{""query"": {""bool"": {""must"": [{""match"": {""VAX_ROUTE"": ""SYR""}}]}}}",Entries containing 'SYR' caught my attention. Could you show these instances and what happened?,"Speaking as a patient advocate, Could you show me all instances of vax route containing 'SYR' and their subsequent examination results?",Reports where the vaccine route is listed as ‘SYR’ might be connected to certain vaccine manufacturers or lot numbers. Should we compare these to see if any patterns emerge?
hard_r0025,hard,25,match,"{""query"": {""bool"": {""must"": [{""match"": {""RECOVD"": ""U""}}]}}}",I noticed records containing 'U'. Could you retrieve all matching entries and their outcomes?,"As someone researching this, I noticed records where recovery status containing 'U'. Could you pull up those cases and tell me what happened afterward?",Seeing “Unknown” in the Recovered status in recent reports might suggest inconsistencies in how recovery is recorded. Would it be helpful to compare these cases across different facilities to spot any patterns?
hard_r0026,hard,26,match,"{""query"": {""bool"": {""must"": [{""match"": {""VAX_TYPE"": ""MENB""}}]}}}",Reports show entries containing 'MENB'. Can you list these cases and summarize results?,"Speaking as a patient advocate, Iam interested in cases with current vaccine type containing 'MENB'. Can you list them and detail any ER visits or hospital stay?",Reports for the MENB vaccine might highlight patient subgroups with varying recovery patterns. Can we review and summarize their hospitalization outcomes?
hard_r0027,hard,27,match,"{""query"": {""bool"": {""must"": [{""match"": {""V_ADMINBY"": ""WRK""}}]}}}",Entries containing 'WRK' caught my attention. Could you show these instances and what happened?,"As someone researching this, Entries with v adminby containing 'WRK' have been flagged. Please retrieve those and note any prior vaccinations or allergies.","As an analyst, seeing vaccine was administered at a workplace clinic  encourages a closer look at symptom onset timelines. Reviewing these records could help clarify patterns in patient responses."
hard_r0028,hard,28,match,"{""query"": {""bool"": {""must"": [{""match"": {""query"": ""Psychomotor hyperactivity""}}]}}}","When data indicates containing 'Psychomotor hyperactivity', what are the matching records and their follow-up?","From my perspective, Entries with symptom4 containing 'Psychomotor hyperactivity' have been flagged. Please retrieve those and note any prior vaccinations or allergies.","Occurrences of Psychomotor hyperactivity may reveal patterns linked to age, demographics, or treatment factors. Reviewing these cases could help identify differences in outcomes and provide insights into patient responses."
