source_row,level,combination,count,summary_level,summary_count
2,simple,term,27,Simple,1887
3,simple,terms,21,Medium,1737
4,simple,ids,3,Hard,2779
5,simple,term + term,24,,
6,simple,term + terms,20,,
7,simple,term + ids,13,,
8,simple,terms + terms,17,,
9,simple,ids+ids,0,,
10,simple,terms + ids,0,,
11,simple,term + term + term,26,,
12,simple,term + term + terms,29,,
13,simple,term + term + ids,30,,
14,simple,term + terms + terms,30,,
15,simple,term + terms + ids,30,,
16,simple,term + ids + ids,30,,
17,simple,terms + terms + terms,24,,
18,simple,terms + terms + ids,28,,
19,simple,terms + ids + ids,28,,
20,simple,ids + ids + ids,1,,
21,simple,term + term + term + term,29,,
22,simple,term + term + term + terms,27,,
23,simple,term + term + term + ids,30,,
24,simple,term + term + terms + terms,28,,
25,simple,term + term + terms + ids,28,,
26,simple,term + term + ids + ids,28,,
27,simple,term + terms + terms + terms,30,,
28,simple,term + terms + terms + ids,28,,
29,simple,term + terms + ids + ids,30,,
30,simple,term + ids + ids + ids,26,,
31,simple,terms + terms + terms + terms,27,,
32,simple,terms + terms + terms + ids,28,,
33,simple,terms + terms + ids + ids,28,,
34,simple,terms + ids + ids + ids,30,,
35,simple,ids + ids + ids + ids,1,,
36,simple,term + term + term + term + term,28,,
37,simple,term + term + term + term + terms,30,,
38,simple,term + term + term + term + ids,0,,
39,simple,term + term + term + terms + terms,30,,
40,simple,term + term + term + terms + ids,0,,
41,simple,term + term + term + ids + ids,0,,
42,simple,term + term + terms + terms + terms,30,,
43,simple,term + term + terms + terms + ids,0,,
44,simple,term + term + terms + ids + ids,0,,
45,simple,term + term + ids + ids + ids,0,,
46,simple,term + terms + terms + terms + terms,30,,
47,simple,term + terms + terms + terms + ids,1,,
48,simple,term + terms + terms + ids + ids,1,,
49,simple,term + terms + ids + ids + ids,1,,
50,simple,term + ids + ids + ids + ids,1,,
51,simple,terms + terms + terms + terms + terms,30,,
52,simple,terms + terms + terms + terms + ids,0,,
53,simple,terms + terms + terms + ids + ids,0,,
54,simple,terms + terms + ids + ids + ids,0,,
55,simple,terms + ids + ids + ids + ids,0,,
56,simple,ids + ids + ids + ids + ids,2,,
57,simple,any 2-clause bool.filter,28,,
58,simple,any 3-clause bool.filter,29,,
59,simple,any 4-clause bool.filter,29,,
60,simple,any 5-clause bool.filter,30,,
61,simple,any 6-clause bool.filter,30,,
62,simple,any 7-clause bool.filter,30,,
63,simple,any 8-clause bool.filter,30,,
64,simple,any 9-clause bool.filter,30,,
65,simple,any 10-clause bool.filter,30,,
66,simple,any 11-clause bool.filter,30,,
67,simple,any 12-clause bool.filter,29,,
68,simple,any 13-clause bool.filter,29,,
69,simple,any 14-clause bool.filter,29,,
70,simple,any 15-clause bool.filter,29,,
71,simple,any 16-clause bool.filter,28,,
72,simple,any 17-clause bool.filter,29,,
73,simple,any 18-clause bool.filter,29,,
74,simple,any 19-clause bool.filter,28,,
75,simple,any 20-clause bool.filter,28,,
76,simple,mixed term & terms in filter,22,,
77,simple,"mixed term, terms & ids",23,,
78,simple,"mixed term, term, terms",0,,
79,simple,"mixed 2term, 2terms",26,,
80,simple,"mixed 2term, 3terms",30,,
81,simple,"mixed term, 4terms",29,,
82,simple,"mixed 3term, 2terms",29,,
83,simple,"mixed 4term, terms",27,,
84,simple,mixed various term/terms/ids up to 5 clauses,24,,
85,simple,single term in must_not,1,,
86,simple,multi terms in must_not,0,,
87,simple,term in should,0,,
88,simple,terms in should,1,,
89,simple,ids in should,0,,
90,simple,combination in must + should,0,,
91,simple,combination in filter + must,0,,
92,simple,nested bool of term inside filter,0,,
93,simple,nested bool of terms inside must,0,,
94,simple,nested bool combining ids & term,0,,
95,simple,constant_score + term,27,,
96,simple,constant_score + terms,28,,
97,simple,constant_score + ids,13,,
98,simple,term + script-filter,30,,
99,simple,terms + script-filter,25,,
100,simple,ids + script-filter,0,,
101,simple,any simple clause inside function_score,0,,
102,medium,prefix,24,1737,
103,medium,range,16,,
104,medium,wildcard,26,,
105,medium,regexp,26,,
106,medium,term + prefix,20,,
107,medium,term + range,16,,
108,medium,term + wildcard,22,,
109,medium,term + regexp,22,,
110,medium,terms + prefix,24,,
111,medium,terms + range,16,,
112,medium,terms + wildcard,22,,
113,medium,terms + regexp,23,,
114,medium,ids + prefix,0,,
115,medium,ids + range,0,,
116,medium,ids + wildcard,0,,
