template_id,difficulty,source_row,combination,query,question,repgrase,unnamed_12,narrative_question
medium_r0002,medium,2,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""TODAYS_DATE"": {""value"": ""03/""}}}]}}}",I've come across entries with values starting with '03/'. Can we see how frequently this occurs and any results?,One of my colleagues encountered a patient who come across entries with values starting with '03/'. Can we see how frequently this occurs and any results?,"Given the context involving My friend take vaccine on 03/. Can you find similar records and share their confirmation of recovery or not?, are there identifiable factors contributing to unexpected health outcomes in recent reports?",The surveillance unit processes daily entry logs. They format dates with month/day prefixes for quick reference. Could you extract records  for the month March?
medium_r0003,medium,3,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""ER_VISIT"": {""value"": ""Y""}}}]}}}","Having seen values starting with 'Y', I'm curious about similar records and their typical outcomes?","Having seen values starting with 'Y', I'm curious about similar records and their typical outcomes?","For data entries connected to My friend has ER record. Can you find similar records and share their confirmation of recovery or not?, could there be previously unnoticed demographic or clinical correlations?",Quality officers audit emergency care referrals each quarter. They tag entries where patients visited the emergency room. How many similar records?
medium_r0004,medium,4,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""OFC_VISIT"": {""value"": ""Y""}}}]}}}","After experiencing values starting with 'Y', I wonder how many others had similar cases and what their outcomes were?","After experiencing values starting with 'Y', I wonder how many others had similar cases and what their outcomes were?","Given the context involving I analyzing patients with medcial record. Please retrieve those records for deeper insights., are there identifiable factors contributing to unexpected health outcomes in recent reports?",A clinic tracks follow-up visits by marking them with a ‘Y’ flag in the records. Could you retrieve all records where the Office Visit status is marked as ‘Y’?
medium_r0005,medium,5,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""VAX_NAME"": {""value"": ""DTA""}}}]}}}",There's an instance of values starting with 'DTA' Can you find all similar cases and summarize their results?,There's an instance of values starting with 'DTA' Can you find all similar cases and summarize their results?,"Considering the records associated with I experienced vax name DTA. Are there others like me and what were their outcomes?, might we detect patterns indicating previously unreported clinical phenomena?",Immunization logs were sorted by vaccine codes during the audit. Analysts focused on those beginning with diphtheria-tetanus prefixes. Locate records with Vaccine Name prefix 'DTA'.
medium_r0006,medium,6,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""VAX_NAME"": {""value"": ""TD ""}}}]}}}","Having seen values starting with 'TD ', I'm curious about similar records and their typical outcomes?","Having seen values starting with 'TD ', I'm curious about similar records and their typical outcomes?","Upon reviewing patient records referencing I tracking occurrences of vax name TD . Please map their distribution and counts by state., can we find a specific trend or anomaly that warrants deeper investigation?",Public health officials examined tetanus-diphtheria vaccine data. They filtered entries starting 'TD ' in product names. Could you find Vaccine Name entries starting with 'TD '?
medium_r0007,medium,7,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""VAX_LOT"": {""value"": ""en6""}}}]}}}",I found records with values starting with 'en6'. Please retrieve all matching cases and share their results?,Our clinic is treating cases where found records with values starting with 'en6'. Please retrieve all matching cases and share their results?,"With cases related to I cared for a patient with vaccine lot number en6. How often does this occur and what follow-up was noted?, have there been identifiable differences across facilities or patient demographics?",Batch surveillance flagged lot 'en6' for follow-up. Safety officers need a comprehensive list of doses from that lot. Find records where Vaccine Lot Number begins with 'en6'.
medium_r0008,medium,8,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""L_THREAT"": {""value"": ""Y""}}}]}}}","In reviewing cases where values starting with 'Y', could you list the matching records and what happened next?","In reviewing cases where values starting with 'Y', could you list the matching records and what happened next?","In the context of analyzing I experienced life threat. Are there others like me and what were their outcomes?, could this reflect an underlying systematic issue within certain subgroups or treatments?",A safety committee logs life-threatening cases in a separate ledger. They require precise counts for critical alerts. How many entries have Life-Threatening Illness ?
medium_r0009,medium,9,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""VAX_DATE"": {""value"": ""11/""}}}]}}}","After experiencing values starting with '11/', I wonder how many others had similar cases and what their outcomes were?","After experiencing values starting with '11/', I wonder how many others had similar cases and what their outcomes were?","In analyzing cases linked to I reporting on incidents of vaccine date 11/. Can you provide examples and their key examination results?, is there any indication of systemic inconsistencies or categorization errors?",Seasonal vaccination patterns are charted monthly. November entries begin with '11/' in the date field. Summarize records where Vaccination Date starts with '11/'.
medium_r0010,medium,10,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""PRIOR_VAX"": {""value"": ""Sev""}}}]}}}",I found records with values starting with 'Sev'. Please retrieve all matching cases and share their results?,We've received reports about patients who found records with values starting with 'Sev'. Please retrieve all matching cases and share their results?,"In the context of analyzing I cared for a patient with prior vaccinations Sev. How often does this occur and what follow-up was noted?, could this reflect an underlying systematic issue within certain subgroups or treatments?",Clinicians review narratives for severe reactions noted. They look for descriptions starting 'Sev' in prior vaccination notes. Are there entries where Prior Vaccination Event begins with 'Sev'?
medium_r0011,medium,11,prefix,"{""query"": {""bool"": {""filter"": [{""prefix"": {""DISABLE"": {""value"": ""Y""}}}]}}}",I noticed values starting with 'Y' in some reports; how common is this and what were the hospital stays or results?,Health records indicate cases where noticed values starting with 'Y' in some reports; how common is this and what were the hospital stays or results?,"Looking at instances involving I tracking occurrences of disability. Please map their distribution and counts by state., what explanations might account for observed variations in clinical reporting?",Rehabilitation teams document disability outcomes post-shot. They flag cases marked 'Y' in the disability field. How many reports record with Disability ?
